-1,124,124,124,124,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,124,-1,-1,-1,-1,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,124,124,124,-1
124,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,124,124,124,124,-1,-1,-1,124,124,124,124,124,124,124,-1,-1,-1,124,124
124,124,-1,-1,-1,-1,124,124,-1,-1,-1,124,124,-1,-1,124,124,124,124,124,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,124
-1,124,124,-1,124,124,124,-1,-1,-1,-1,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,-1,-1,-1,-1,-1,-1,-1,124
-1,-1,124,-1,124,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,124,124,124,-1,-1,124,124,124,124,124,-1,-1,-1,-1,124
-1,-1,124,-1,124,124,-1,-1,-1,-1,-1,124,-1,-1,124,124,124,-1,124,124,-1,-1,124,124,-1,124,124,-1,-1,-1,124
-1,-1,124,-1,-1,124,124,124,124,-1,124,124,-1,124,124,-1,-1,-1,-1,124,124,-1,-1,124,-1,-1,124,124,124,124,124
-1,-1,124,124,-1,-1,-1,-1,124,124,124,-1,-1,124,-1,-1,-1,124,124,124,124,124,-1,124,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,124,124,124,124,-1,-1,-1,-1,-1,124,124,-1,-1,124,124,-1,124,124,124,-1,124,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,124,124,124,124,124,124,124,-1,-1,-1,124,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,-1,-1,-1,-1,124,124,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,-1,-1,124,124,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,124,124,-1,-1,-1,-1,-1,-1,-1,-1,-1
